flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:11 11:0:41 10099 100 17,2.003912909,235.726319756,233.731167818,3
11:0:11 11:0:41 10097 100 17,2.003862711,142.237742358,140.252344578,3
11:0:11 11:0:41 10096 100 17,2.003838312,353.086781591,351.086255267,3
11:0:11 11:0:41 10093 100 17,2.003761714,150.136419044,148.14970787,3
11:0:11 11:0:41 10092 100 17,2.003736915,140.669844492,138.684148712,3
11:0:11 11:0:41 10090 100 17,2.003685717,209.028996348,207.037155594,3
11:0:11 11:0:41 10098 100 17,2.00388751,191.000005073,189.011682707,3
11:0:11 11:0:41 10088 100 17,2.003620518,568.352255074,566.348694556,3
11:0:11 11:0:41 10087 100 17,2.003318119,393.736832366,391.736032041,3
11:0:11 11:0:41 10086 100 17,2.003291319,333.536287279,331.536923944,3
11:0:11 11:0:41 10085 100 17,2.00326652,210.545465557,208.553557802,3
11:0:11 11:0:41 10084 100 17,2.003225721,1891.346859514,1889.343702191,3
11:0:11 11:0:41 10078 100 17,2.003062727,135.334572863,133.352593265,3
11:0:11 11:0:41 10077 100 17,2.003035927,354.948931022,352.949405478,3
11:0:11 11:0:41 10076 100 17,2.003011327,130.454596152,128.47060656,3
11:0:11 11:0:41 10075 100 17,2.002704128,209.784481006,207.793156043,3
11:0:11 11:0:41 10074 100 17,2.002678729,209.221627714,207.232827543,3
11:0:11 11:0:41 10072 100 17,2.00252853,160.259483321,158.273270126,3
11:0:11 11:0:41 10070 100 17,2.002476731,446.579066571,444.578327433,3
11:0:11 11:0:41 10069 100 17,2.002439132,736.767799877,734.765614087,3
11:0:11 11:0:41 10068 100 17,2.002414333,196.380062941,194.388853973,3
11:0:11 11:0:41 10067 100 17,2.002388934,246.404761395,244.409014042,3
11:0:11 11:0:41 10091 100 17,2.003711916,215.129115841,213.138090486,3
11:0:11 11:0:41 10066 100 17,2.002364135,121.983360771,120.002247561,3
11:0:11 11:0:41 10065 100 17,2.002338936,124.245050167,122.261638365,3
11:0:11 11:0:41 10082 100 17,2.003170923,741.427856956,739.424746033,3
11:0:11 11:0:41 10064 100 17,2.002301137,176.759887992,174.773152006,3
11:0:11 11:0:41 10063 100 17,2.002283738,503.748990374,501.747461234,3
11:0:11 11:0:41 10061 100 17,2.00210134,3203.837009081,3201.834953739,3
11:0:11 11:0:41 10060 100 17,2.002078941,3523.381735964,3521.379700621,3
11:0:11 11:0:41 10012 100 17,2.000342988,95.550586218,93.57056456,1
11:0:11 11:0:41 10036 100 17,2.000978965,113.249020743,111.267140711,1
11:0:11 11:0:41 10024 100 17,2.000641376,118.609877389,116.629065146,1
11:0:11 11:0:41 10008 100 17,2.000225192,127.317921391,125.334840134,1
11:0:11 11:0:41 10034 100 17,2.000930567,83.153634208,81.174992369,1
11:0:11 11:0:41 10026 100 17,2.000691374,124.003957613,122.020867186,1
11:0:11 11:0:41 10022 100 17,2.000591378,107.739310332,105.758084079,1
11:0:11 11:0:41 10027 100 17,2.000716573,121.612800489,119.631155842,1
11:0:11 11:0:41 10049 100 17,2.001379552,5591.18292142,5589.181652666,2
11:0:11 11:0:41 10017 100 17,2.000465783,123.677009162,121.694644317,1
11:0:11 11:0:41 10089 100 17,2.003658917,316.80115486,314.801046735,3
11:0:11 11:0:41 10016 100 17,2.000440784,124.066703207,122.084476562,1
11:0:11 11:0:41 10023 100 17,2.000616177,118.927072285,116.946431229,1
11:0:11 11:0:41 10073 100 17,2.002553329,261.550857671,259.556395118,3
11:0:11 11:0:41 10015 100 17,2.000415785,125.496737852,123.514772398,1
11:0:11 11:0:41 10014 100 17,2.000391386,98.852224987,96.873033534,1
11:0:11 11:0:41 10053 100 17,2.001558148,177.42597762,175.442141808,2
11:0:11 11:0:41 10059 100 17,2.002053542,202.081387725,200.092548142,3
11:0:11 11:0:41 10013 100 17,2.000365987,118.934081058,116.952727793,1
11:0:11 11:0:41 10048 100 17,2.001324753,192.602250854,190.615514449,2
11:0:11 11:0:41 10020 100 17,2.00054058,124.01217999,122.028325353,1
11:0:11 11:0:41 10025 100 17,2.000666575,121.61277529,119.631181041,1
11:0:11 11:0:41 10003 100 17,2.000088397,129.664017276,127.683913212,1
11:0:11 11:0:41 10046 100 17,2.001248755,130.25108866,128.268254837,2
11:0:11 11:0:41 10001 100 17,2.000025399,127.727158321,125.745819055,1
11:0:11 11:0:41 10004 100 17,2.000111396,125.15565283,123.174197773,1
11:0:11 11:0:41 10002 100 17,2.000050598,117.582804885,115.599851621,1
11:0:11 11:0:41 10095 100 17,2.003813513,131.336705156,129.34993939,3
11:0:11 11:0:41 10044 100 17,2.001195957,127.371775984,125.387885165,1
