flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:11 11:0:41 10099 100 17,2.019564929,939.879230173,937.9265862,3
11:0:11 11:0:41 10097 100 17,2.019313931,343.091498319,341.210534311,3
11:0:11 11:0:41 10096 100 17,2.019191932,1706.187104401,1704.198203452,3
11:0:11 11:0:41 10093 100 17,2.018808933,418.679589205,416.792920204,3
11:0:11 11:0:41 10092 100 17,2.018684934,238.222181927,236.354869914,3
11:0:11 11:0:41 10090 100 17,2.018428935,780.85944781,778.943898819,3
11:0:11 11:0:41 10098 100 17,2.01943793,797.948158206,796.029951218,3
11:0:11 11:0:41 10088 100 17,2.018102935,2623.563714267,2621.558348324,3
11:0:11 11:0:41 10087 100 17,2.016590935,1972.905847016,1970.918831062,3
11:0:11 11:0:41 10086 100 17,2.016456935,1953.60019352,1951.613847571,3
11:0:11 11:0:41 10085 100 17,2.016332936,794.85978193,792.94167594,3
11:0:11 11:0:41 10084 100 17,2.016128937,5603.945342268,5601.929547329,3
11:0:11 11:0:41 10078 100 17,2.015313941,372.436544888,370.556566887,3
11:0:11 11:0:41 10077 100 17,2.015179941,2068.51350494,2066.521953987,3
11:0:11 11:0:41 10076 100 17,2.015056941,318.177455043,316.305844043,3
11:0:11 11:0:41 10075 100 17,2.013520941,795.062532816,793.151596817,3
11:0:11 11:0:41 10074 100 17,2.013393942,866.972465249,865.044788266,3
11:0:11 11:0:41 10072 100 17,2.012642944,654.811724738,652.916714731,3
11:0:11 11:0:41 10070 100 17,2.012383944,1596.244716448,1594.272501485,3
11:0:11 11:0:41 10069 100 17,2.012195945,3189.422809035,3187.417753085,3
11:0:11 11:0:41 10068 100 17,2.012071946,800.64028868,798.724383683,3
11:0:11 11:0:41 10067 100 17,2.011944947,1073.903396021,1071.954480046,3
11:0:11 11:0:41 10091 100 17,2.018559934,878.703214548,876.769262567,3
11:0:11 11:0:41 10066 100 17,2.011820948,291.310096702,289.447648678,3
11:0:11 11:0:41 10065 100 17,2.011694949,318.599527844,316.718781824,3
11:0:11 11:0:41 10082 100 17,2.015854939,3187.659721459,3185.651342517,3
11:0:11 11:0:41 10064 100 17,2.01150595,970.157326502,968.21411951,3
11:0:11 11:0:41 10063 100 17,2.01141895,2073.123949858,2071.133637892,3
11:0:11 11:0:41 10061 100 17,2.010506951,6424.924513301,6422.914228348,3
11:0:11 11:0:41 10060 100 17,2.010394952,6748.937169456,6746.926984502,3
11:0:11 11:0:41 10012 100 17,2.001714989,100.287764373,98.439157295,1
11:0:11 11:0:41 10036 100 17,2.004894971,115.512364969,113.664397905,1
11:0:11 11:0:41 10024 100 17,2.003206981,122.431388088,120.583199015,1
11:0:11 11:0:41 10008 100 17,2.001125993,130.062769031,128.225030942,1
11:0:11 11:0:41 10034 100 17,2.004652973,84.134645341,82.293668283,1
11:0:11 11:0:41 10026 100 17,2.003456979,124.132743134,122.290256074,1
11:0:11 11:0:41 10022 100 17,2.002956983,109.949365023,108.10442696,1
11:0:11 11:0:41 10027 100 17,2.003582978,121.748415513,119.899714434,1
11:0:11 11:0:41 10049 100 17,2.00689796,5591.656328169,5589.650315207,2
11:0:11 11:0:41 10017 100 17,2.002328986,123.797752334,121.95282725,1
11:0:11 11:0:41 10089 100 17,2.018294935,1794.83536228,1792.847364327,3
11:0:11 11:0:41 10016 100 17,2.002203986,124.221514083,122.380925021,1
11:0:11 11:0:41 10023 100 17,2.003080982,119.193417942,117.340946862,1
11:0:11 11:0:41 10073 100 17,2.012766943,1102.541159346,1100.588198373,3
11:0:11 11:0:41 10015 100 17,2.002078986,125.553643399,123.714132317,1
11:0:11 11:0:41 10014 100 17,2.001956987,103.734655473,101.892430401,1
11:0:11 11:0:41 10053 100 17,2.007790957,201.615665007,199.757922964,2
11:0:11 11:0:41 10059 100 17,2.010267953,782.384574954,780.469137942,3
11:0:11 11:0:41 10013 100 17,2.001829988,118.999113034,117.158507967,1
11:0:11 11:0:41 10048 100 17,2.006623961,842.156496498,840.240651491,2
11:0:11 11:0:41 10020 100 17,2.002702985,124.132618134,122.290886069,1
11:0:11 11:0:41 10025 100 17,2.00333298,121.720518532,119.870761453,1
11:0:11 11:0:41 10003 100 17,2.000441997,130.899158593,129.059291522,1
11:0:11 11:0:41 10046 100 17,2.006243962,514.325354591,512.438730556,2
11:0:11 11:0:41 10001 100 17,2.000126999,133.247520349,131.410591268,1
11:0:11 11:0:41 10004 100 17,2.000556996,125.258108548,123.419142468,1
11:0:11 11:0:41 10002 100 17,2.000252998,117.795230702,115.947920606,1
11:0:11 11:0:41 10095 100 17,2.019067933,292.785631887,290.911493872,3
11:0:11 11:0:41 10044 100 17,2.005979964,127.603937297,125.763096256,1
11:0:11 11:0:41 10057 100 17,2.010016955,759.859021491,757.957807469,3
11:0:11 11:0:41 10071 100 17,2.012517944,406.354379115,404.470082106,3
11:0:11 11:0:41 10006 100 17,2.000872995,128.286075962,126.445201878,1
11:0:11 11:0:41 10009 100 17,2.001314992,105.605861482,103.762735404,1
11:0:11 11:0:41 10028 100 17,2.003706977,125.792685267,123.949792201,1
11:0:11 11:0:41 10018 100 17,2.002453986,119.031363021,117.190841958,1
