flow id:,first send:,last arrive:,FCT:,origin_pg:
11:0:11 11:0:41 10099 100 17,2.019564929,964.775685925,962.830057957,3
11:0:11 11:0:41 10097 100 17,2.019313931,385.343247362,383.450519349,3
11:0:11 11:0:41 10096 100 17,2.019191932,1704.020564593,1702.035724641,3
11:0:11 11:0:41 10093 100 17,2.018808933,450.396482926,448.502601942,3
11:0:11 11:0:41 10092 100 17,2.018684934,224.276510308,222.434338219,3
11:0:11 11:0:41 10090 100 17,2.018428935,814.798736849,812.881021865,3
11:0:11 11:0:41 10098 100 17,2.01943793,829.068474917,827.144607939,3
11:0:11 11:0:41 10088 100 17,2.018102935,2629.625778677,2627.617862739,3
11:0:11 11:0:41 10087 100 17,2.016590935,1985.517527832,1983.52965788,3
11:0:11 11:0:41 10086 100 17,2.016456935,1962.495955182,1960.508702233,3
11:0:11 11:0:41 10085 100 17,2.016332936,830.815837104,828.897515125,3
11:0:11 11:0:41 10084 100 17,2.016128937,5608.4586171,5606.442822161,3
11:0:11 11:0:41 10078 100 17,2.015313941,363.228974672,361.351693612,3
11:0:11 11:0:41 10077 100 17,2.015179941,2075.915937052,2073.924403096,3
11:0:11 11:0:41 10076 100 17,2.015056941,348.543350014,346.667420975,3
11:0:11 11:0:41 10075 100 17,2.013520941,802.369338996,800.461066008,3
11:0:11 11:0:41 10074 100 17,2.013393942,894.203092331,892.273664352,3
11:0:11 11:0:41 10072 100 17,2.012642944,685.116238968,683.216670978,3
11:0:11 11:0:41 10070 100 17,2.012383944,1607.416966792,1605.44520283,3
11:0:11 11:0:41 10069 100 17,2.012195945,3232.255473789,3230.248302838,3
11:0:11 11:0:41 10068 100 17,2.012071946,831.490159769,829.578143773,3
11:0:11 11:0:41 10067 100 17,2.011944947,1100.440695437,1098.48632846,3
11:0:11 11:0:41 10091 100 17,2.018559934,907.633754478,905.693243506,3
11:0:11 11:0:41 10066 100 17,2.011820948,348.353737139,346.487087098,3
11:0:11 11:0:41 10065 100 17,2.011694949,357.313671991,355.433215932,3
11:0:11 11:0:41 10082 100 17,2.015854939,3229.238614148,3227.233423203,3
11:0:11 11:0:41 10064 100 17,2.01150595,424.742539941,422.854788928,3
11:0:11 11:0:41 10063 100 17,2.01141895,2087.365423773,2085.374401808,3
11:0:11 11:0:41 10061 100 17,2.010506951,6409.125000278,6407.114715325,3
11:0:11 11:0:41 10060 100 17,2.010394952,6727.905029598,6725.894844644,3
11:0:11 11:0:41 10012 100 17,2.001714989,156.400180275,154.398718285,1
11:0:11 11:0:41 10036 100 17,2.004894971,143.239824463,141.235264492,1
11:0:11 11:0:41 10024 100 17,2.003206981,131.792104203,129.790351221,1
11:0:11 11:0:41 10008 100 17,2.001125993,153.921100979,151.921631976,1
11:0:11 11:0:41 10034 100 17,2.004652973,112.17894919,110.175960218,1
11:0:11 11:0:41 10026 100 17,2.003456979,150.344248339,148.34129836,1
11:0:11 11:0:41 10022 100 17,2.002956983,136.914330952,134.911644963,1
11:0:11 11:0:41 10027 100 17,2.003582978,149.874799045,147.871484064,1
11:0:11 11:0:41 10049 100 17,2.00689796,5620.731777785,5618.725425823,2
11:0:11 11:0:41 10017 100 17,2.002328986,150.487343091,148.485410102,1
11:0:11 11:0:41 10089 100 17,2.018294935,1805.308055276,1803.321922328,3
11:0:11 11:0:41 10016 100 17,2.002203986,150.495400022,148.493647029,1
11:0:11 11:0:41 10023 100 17,2.003080982,147.070921516,145.068217532,1
11:0:11 11:0:41 10073 100 17,2.012766943,1130.356762909,1128.407074936,3
11:0:11 11:0:41 10015 100 17,2.002078986,153.981932913,151.980170925,1
