flow id:,first send:,last send:,last arrive:,send num:,receive num,FCT:,origin_pg:
11:0:11 11:0:41 10099 100 17,2.003912909,238.207726046,238.215302424,941653,941788,236.211389515,3
11:0:11 11:0:41 10097 100 17,2.003862711,146.943221646,146.962249585,90268,90315,144.958386874,3
11:0:11 11:0:41 10096 100 17,2.003838312,355.220521346,355.224291331,5495854,5496064,353.220453019,3
11:0:11 11:0:41 10093 100 17,2.003761714,154.667854314,154.683893464,149487,149539,152.68013175,3
11:0:11 11:0:41 10092 100 17,2.003736915,140.329694866,140.347898802,57470,57487,138.344161887,3
11:0:11 11:0:41 10090 100 17,2.003685717,213.90451122,213.915265588,612978,613098,211.911579871,3
11:0:11 11:0:41 10098 100 17,2.00388751,196.59450752,196.607383479,599781,599888,194.603495969,3
11:0:11 11:0:41 10088 100 17,2.003620518,571.107405325,571.109032124,23071101,23071452,569.105411606,3
11:0:11 11:0:41 10087 100 17,2.003318119,398.097461684,398.098913281,7480126,7480424,396.095595162,3
11:0:11 11:0:41 10086 100 17,2.003291319,336.659873309,336.664274294,6865590,6865918,334.660982975,3
11:0:11 11:0:41 10085 100 17,2.00326652,217.396551473,217.407313438,519173,519283,215.404046918,3
11:0:11 11:0:41 10084 100 17,2.003225721,1897.16197913,1897.162047528,619281430,619282094,1895.158821807,3
11:0:11 11:0:41 10078 100 17,2.003062727,136.381219878,136.399949616,200234,200281,134.396886889,3
11:0:11 11:0:41 10077 100 17,2.003035927,358.144249769,358.148162756,8343833,8344173,356.145126829,3
11:0:11 11:0:41 10076 100 17,2.003011327,133.963661018,133.985599949,114484,114529,131.982588622,3
11:0:11 11:0:41 10075 100 17,2.002704128,211.343808202,211.355987567,713037,713150,209.353283439,3
11:0:11 11:0:41 10074 100 17,2.002678729,213.532428729,213.543817098,784460,784584,211.541138369,3
11:0:11 11:0:41 10072 100 17,2.00252853,164.166755678,164.185031026,418355,418453,162.182502496,3
11:0:11 11:0:41 10070 100 17,2.002476731,451.358119904,451.359529097,3903170,3903386,449.357052366,3
11:0:11 11:0:41 10069 100 17,2.002439132,738.688646808,738.688706808,46491028,46491402,736.686267676,3
11:0:11 11:0:41 10068 100 17,2.002414333,201.782552103,201.795595665,632643,632768,199.793181332,3
11:0:11 11:0:41 10067 100 17,2.002388934,252.163870467,252.17140585,1306722,1306886,250.169016916,3
11:0:11 11:0:41 10091 100 17,2.003711916,220.071392813,220.08165798,804829,804955,218.077946064,3
11:0:11 11:0:41 10066 100 17,2.002364135,123.161373528,123.179791867,115486,115516,121.177427732,3
11:0:11 11:0:41 10065 100 17,2.002338936,128.279561327,128.300492253,80508,80547,126.298153317,3
11:0:11 11:0:41 10082 100 17,2.003170923,734.584408486,734.584468486,45117555,45117909,732.581297563,3
11:0:11 11:0:41 10064 100 17,2.002301137,168.373528397,168.373637798,713500,713503,166.371336661,3
11:0:11 11:0:41 10063 100 17,2.002283738,506.838980075,506.839904673,12641150,12641272,504.837620935,3
11:0:11 11:0:41 10061 100 17,2.00210134,3209.802415316,3209.802461314,224433223,224433663,3207.800359974,3
11:0:11 11:0:41 10060 100 17,2.002078941,3528.783888973,3528.783932571,225014732,225015188,3526.78185363,3
11:0:11 11:0:41 10012 100 17,2.000342988,95.119158639,95.119458839,2299,2299,93.119115851,1
11:0:11 11:0:41 10036 100 17,2.000978965,112.965906417,112.966208418,2741,2741,110.965229453,1
11:0:11 11:0:41 10024 100 17,2.000641376,118.273497379,118.273651178,2223,2223,116.273009802,1
11:0:11 11:0:41 10008 100 17,2.000225192,127.051107656,127.051356056,3791,3791,125.051130864,1
11:0:11 11:0:41 10034 100 17,2.000930567,83.058198237,83.058355639,1235,1235,81.057425072,1
11:0:11 11:0:41 10026 100 17,2.000691374,124.005211246,124.005423448,2077,2077,122.004732074,1
11:0:11 11:0:41 10022 100 17,2.000591378,107.504039292,107.504196894,4046,4046,105.503605516,1
11:0:11 11:0:41 10027 100 17,2.000716573,121.622718508,121.623019708,1972,1972,119.622303135,1
11:0:11 11:0:41 10049 100 17,2.001379552,5591.173282929,5591.173393727,448141,448141,5589.172014175,2
11:0:11 11:0:41 10017 100 17,2.000465783,123.67956649,123.679898691,2084,2084,121.679432908,1
11:0:11 11:0:41 10089 100 17,2.003658917,319.616211441,319.620395833,5263668,5263970,317.616736916,3
11:0:11 11:0:41 10016 100 17,2.000440784,124.082389945,124.082613946,2074,2075,122.082173162,1
11:0:11 11:0:41 10023 100 17,2.000616177,118.933510308,118.933689708,1845,1845,116.933073531,1
11:0:11 11:0:41 10073 100 17,2.002553329,267.150053747,267.15586733,1331508,1331685,265.153314001,3
11:0:11 11:0:41 10015 100 17,2.000415785,125.507683157,125.507737156,2086,2086,123.507321371,1
11:0:11 11:0:41 10014 100 17,2.000391386,98.313178735,98.313420935,3766,3767,96.313029549,1
11:0:11 11:0:41 10053 100 17,2.001558148,175.440594945,175.441025944,52165,52165,173.439467796,2
11:0:11 11:0:41 10059 100 17,2.002053542,208.0603007,208.074162663,591718,591825,206.072109121,3
11:0:11 11:0:41 10013 100 17,2.000365987,118.943018677,118.943091276,1845,1845,116.942725289,1
11:0:11 11:0:41 10048 100 17,2.001324753,130.959406067,130.959488667,440991,440995,128.958163914,2
11:0:11 11:0:41 10020 100 17,2.00054058,124.019293792,124.019417992,2072,2072,122.018877412,1
11:0:11 11:0:41 10025 100 17,2.000666575,121.623500301,121.623616501,1972,1972,119.622949926,1
11:0:11 11:0:41 10003 100 17,2.000088397,129.760564576,129.760886376,2776,2776,127.760797979,1
11:0:11 11:0:41 10046 100 17,2.001248755,128.253688224,128.253973224,237560,237562,126.252724469,2
11:0:11 11:0:41 10001 100 17,2.000025399,127.610370208,127.628423338,5674,5674,125.628397939,1
11:0:11 11:0:41 10004 100 17,2.000111396,125.156252208,125.156571209,1692,1692,123.156459813,1
11:0:11 11:0:41 10002 100 17,2.000050598,117.561299029,117.561530629,1059,1059,115.561480031,1
11:0:11 11:0:41 10095 100 17,2.003813513,136.128204568,136.144850115,60177,60215,134.141036602,3
11:0:11 11:0:41 10044 100 17,2.001195957,127.39815378,127.398498779,2211,2211,125.397302822,1
11:0:11 11:0:41 10057 100 17,2.002003344,199.057303853,199.073024005,579035,579143,197.071020661,3
11:0:11 11:0:41 10071 100 17,2.002503531,144.058994713,144.078283839,146512,146568,142.075780308,3
11:0:11 11:0:41 10006 100 17,2.000174594,128.202337814,128.202443414,1933,1933,126.20226882,1
11:0:11 11:0:41 10009 100 17,2.000262991,102.745159894,102.745445696,2945,2945,100.745182705,1
11:0:11 11:0:41 10028 100 17,2.000741372,125.668195799,125.668486,2080,2080,123.667744628,1
11:0:11 11:0:41 10018 100 17,2.000490782,118.921959556,118.922209157,1844,1844,116.921718375,1
11:0:11 11:0:41 10021 100 17,2.000565979,121.455533135,121.455838536,1954,1954,119.455272557,1
11:0:11 11:0:41 10010 100 17,2.00028839,121.429072044,121.429245642,1951,1951,119.428957252,1
11:0:11 11:0:41 10000 100 17,2,118.354261284,118.354567084,1835,1835,116.354567084,1
11:0:11 11:0:41 10039 100 17,2.001052562,117.579795963,117.580136363,1171,1171,115.579083801,1
11:0:11 11:0:41 10005 100 17,2.000149595,124.984004043,124.984083642,2089,2089,122.983934047,1
11:0:11 11:0:41 10079 100 17,2.003087726,237.311430494,237.320454464,1743808,1744028,235.317366738,3
11:0:11 11:0:41 10029 100 17,2.000766171,117.923753076,117.923978677,2936,2936,115.923212506,1
