flow id:,first send:,last send:,last arrive:,send num:,receive num,FCT:,origin_pg:
11:0:11 11:0:41 10099 100 17,2.003912909,235.726319756,235.735080727,924260,924395,233.731167818,3
11:0:11 11:0:41 10097 100 17,2.003862711,142.237742358,142.256207289,83799,83833,140.252344578,3
11:0:11 11:0:41 10096 100 17,2.003838312,353.086781591,353.090093579,5461014,5461221,351.086255267,3
11:0:11 11:0:41 10093 100 17,2.003761714,150.136419044,150.153469584,141049,141104,148.14970787,3
11:0:11 11:0:41 10092 100 17,2.003736915,140.669844492,140.687885627,58049,58067,138.684148712,3
11:0:11 11:0:41 10090 100 17,2.003685717,209.028996348,209.040841311,584770,584872,207.037155594,3
11:0:11 11:0:41 10098 100 17,2.00388751,191.000005073,191.015570217,567789,567902,189.011682707,3
11:0:11 11:0:41 10088 100 17,2.003620518,568.352255074,568.352315074,23182992,23183345,566.348694556,3
11:0:11 11:0:41 10087 100 17,2.003318119,393.736832366,393.73935016,7312287,7312572,391.736032041,3
11:0:11 11:0:41 10086 100 17,2.003291319,333.536287279,333.540215263,6805393,6805716,331.536923944,3
11:0:11 11:0:41 10085 100 17,2.00326652,210.545465557,210.556824322,482717,482813,208.553557802,3
11:0:11 11:0:41 10084 100 17,2.003225721,1891.346859514,1891.346927912,616081396,616082023,1889.343702191,3
11:0:11 11:0:41 10078 100 17,2.003062727,135.334572863,135.355655992,198509,198555,133.352593265,3
11:0:11 11:0:41 10077 100 17,2.003035927,354.948931022,354.952441405,8242295,8242631,352.949405478,3
11:0:11 11:0:41 10076 100 17,2.003011327,130.454596152,130.473617887,109408,109443,128.47060656,3
11:0:11 11:0:41 10075 100 17,2.002704128,209.784481006,209.795860171,703456,703563,207.793156043,3
11:0:11 11:0:41 10074 100 17,2.002678729,209.221627714,209.235506272,752700,752824,207.232827543,3
11:0:11 11:0:41 10072 100 17,2.00252853,160.259483321,160.275798656,403159,403261,158.273270126,3
11:0:11 11:0:41 10070 100 17,2.002476731,446.579066571,446.580804164,3804016,3804216,444.578327433,3
