flow id:,first send:,last send:,last arrive:,send num:,receive num,FCT:,origin_pg:,transfer delay:
11:0:11 11:0:41 10099 100 17,2.004456898,235.999032352,236.00640893,925003,925147,234.001952032,3,0
11:0:11 11:0:41 10097 100 17,2.0044067,142.265973613,142.285868753,83824,83859,140.281462053,3,0
11:0:11 11:0:41 10096 100 17,2.004382301,353.654457595,353.658401578,5465426,5465638,351.654019277,3,0
11:0:11 11:0:41 10093 100 17,2.004255905,150.274746511,150.292520055,141217,141268,148.28826415,3,0
11:0:11 11:0:41 10092 100 17,2.004231106,140.723312276,140.740631816,58070,58091,138.73640071,3,0
11:0:11 11:0:41 10090 100 17,2.004179908,209.082806041,209.092012613,585034,585134,207.087832705,3,0
11:0:11 11:0:41 10098 100 17,2.004431499,191.321241995,191.336726751,568625,568726,189.332295252,3,0
11:0:11 11:0:41 10088 100 17,2.004114709,570.749505487,570.749565487,23254478,23254821,568.745450778,3,0
11:0:11 11:0:41 10087 100 17,2.00381231,394.155684255,394.157750846,7316648,7316952,392.153938536,3,0
11:0:11 11:0:41 10086 100 17,2.00378551,333.657393942,333.662445326,6806784,6807108,331.658659816,3,0
11:0:11 11:0:41 10085 100 17,2.003735712,210.492812199,210.504578167,482709,482809,208.500842455,3,0
11:0:11 11:0:41 10084 100 17,2.003694913,1894.652820854,1894.652889252,617517849,617518506,1892.649194339,3,0
11:0:11 11:0:41 10078 100 17,2.003531919,135.382932489,135.402356626,198503,198551,133.398824707,3,0
11:0:11 11:0:41 10077 100 17,2.003505119,355.005621404,355.01060698,8241929,8242270,353.007101861,3,0
11:0:11 11:0:41 10076 100 17,2.003480519,130.38560735,130.404211888,109360,109397,128.400731369,3,0
11:0:11 11:0:41 10075 100 17,2.00317332,209.775947161,209.78883072,703597,703709,207.7856574,3,0
11:0:11 11:0:41 10074 100 17,2.003147921,209.314271103,209.325241064,752649,752768,207.322093143,3,0
11:0:11 11:0:41 10072 100 17,2.002997722,160.28207138,160.300668526,403249,403343,158.297670804,3,0
11:0:11 11:0:41 10070 100 17,2.002896724,446.663110795,446.664683388,3804382,3804583,444.661786664,3,0
11:0:11 11:0:41 10069 100 17,2.002859125,736.963554817,736.963841242,46576816,46577181,734.960982117,3,0
11:0:11 11:0:41 10068 100 17,2.002834326,196.298588872,196.311984435,601207,601317,194.309150109,3,0
11:0:11 11:0:41 10067 100 17,2.002808927,246.325435941,246.33273852,1246818,1246951,244.329929593,3,0
11:0:11 11:0:41 10091 100 17,2.004206107,215.456506903,215.467792666,769017,769143,213.463586559,3,0
11:0:11 11:0:41 10066 100 17,2.002759129,121.921940333,121.940916072,113956,113986,119.938156943,3,0
11:0:11 11:0:41 10065 100 17,2.00273393,124.115794797,124.134365933,75523,75557,122.131632003,3,0
11:0:11 11:0:41 10082 100 17,2.003640115,741.974051546,741.974111546,46585127,46585507,739.970471431,3,0
11:0:11 11:0:41 10064 100 17,2.002696131,175.942149827,175.957861579,747108,747265,173.955165448,3,0
11:0:11 11:0:41 10063 100 17,2.002678732,503.354573521,503.356360916,12570494,12570624,501.353682184,3,0
11:0:11 11:0:41 10061 100 17,2.002330535,3203.477388054,3203.477434052,222994560,222995000,3201.475103517,3,0
11:0:11 11:0:41 10060 100 17,2.002308136,3522.198521667,3522.198565265,223586962,223587424,3520.196257129,3,0
11:0:11 11:0:41 10012 100 17,2.000342988,95.543798819,95.563681953,2308,2308,93.563338965,1,0
11:0:11 11:0:41 10036 100 17,2.000978965,113.236160967,113.254466897,2751,2753,111.253487932,1,0
11:0:11 11:0:41 10024 100 17,2.000641376,118.598400424,118.617377969,2229,2230,116.616736593,1,0
11:0:11 11:0:41 10008 100 17,2.000225192,127.294781829,127.314409363,3792,3793,125.314184171,1,0
11:0:11 11:0:41 10034 100 17,2.000930567,83.150031487,83.171562223,1238,1238,81.170631656,1,0
11:0:11 11:0:41 10026 100 17,2.000691374,124.003044404,124.019855341,2077,2083,122.019163967,1,0
11:0:11 11:0:41 10022 100 17,2.000591378,107.716730591,107.737752115,4051,4052,105.737160737,1,0
11:0:11 11:0:41 10027 100 17,2.000716573,121.60631606,121.626013388,1972,1972,119.625296815,1,0
11:0:11 11:0:41 10049 100 17,2.00143695,5591.18348878,5591.183599578,448141,448141,5589.182162628,2,0
11:0:11 11:0:41 10017 100 17,2.000465783,123.67267197,123.690634104,2084,2084,121.690168321,1,0
11:0:11 11:0:41 10089 100 17,2.004153108,317.005233576,317.008691965,5217339,5217639,315.004538857,3,0
11:0:11 11:0:41 10016 100 17,2.000440784,124.056385005,124.07473074,2071,2080,122.074289956,1,0
11:0:11 11:0:41 10023 100 17,2.000616177,118.930451477,118.951503806,1845,1845,116.950887629,1,0
11:0:11 11:0:41 10073 100 17,2.003022521,261.439240771,261.446337552,1267636,1267790,259.443315031,3,0
11:0:11 11:0:41 10015 100 17,2.000415785,125.493906232,125.51071657,2083,2086,123.510300785,1,0
11:0:11 11:0:41 10014 100 17,2.000391386,98.843247245,98.865814371,3793,3794,96.865422985,1,0
11:0:11 11:0:41 10053 100 17,2.001653546,177.294774508,177.311940853,52689,52702,175.310287307,2,0
11:0:11 11:0:41 10059 100 17,2.002282737,202.009239636,202.022878397,557901,558001,200.02059566,3,0
11:0:11 11:0:41 10013 100 17,2.000365987,118.932293872,118.9530582,1839,1845,116.952692213,1,0
11:0:11 11:0:41 10048 100 17,2.001382151,192.038973446,192.050227406,648245,648373,190.048845255,2,0
11:0:11 11:0:41 10020 100 17,2.00054058,124.004466398,124.021815529,2071,2075,122.021274949,1,0
11:0:11 11:0:41 10025 100 17,2.000666575,121.606290861,121.625988589,1972,1972,119.625322014,1,0
11:0:11 11:0:41 10003 100 17,2.000088397,129.659502461,129.679865395,2773,2774,127.679776998,1,0
11:0:11 11:0:41 10046 100 17,2.001306153,129.506946215,129.523625948,239217,239289,127.522319795,2,0
11:0:11 11:0:41 10001 100 17,2.000025399,127.716998918,127.73542446,5676,5676,125.735399061,1,0
11:0:11 11:0:41 10004 100 17,2.000111396,125.145343848,125.162956584,1692,1692,123.162845188,1,0
11:0:11 11:0:41 10002 100 17,2.000050598,117.580472471,117.598801002,1059,1059,115.598750404,1,0
11:0:11 11:0:41 10095 100 17,2.004332503,131.400148114,131.419496257,55016,55048,129.415163754,3,0
11:0:11 11:0:41 10044 100 17,2.001225756,127.361006391,127.378847128,2211,2211,125.377621372,1,0
11:0:11 11:0:41 10057 100 17,2.002207939,194.510327287,194.524380247,554304,554417,192.522172308,3,0
11:0:11 11:0:41 10071 100 17,2.002972723,140.104101249,140.121559788,138854,138904,138.118587065,3,0
11:0:11 11:0:41 10006 100 17,2.000174594,128.184791449,128.203902178,1933,1933,126.203727584,1,0
11:0:11 11:0:41 10009 100 17,2.000262991,102.995485094,103.016169824,2953,2955,101.015906833,1,0
11:0:11 11:0:41 10028 100 17,2.000741372,125.656301039,125.673593779,2080,2080,123.672852407,1,0
11:0:11 11:0:41 10018 100 17,2.000490782,118.897421392,118.918102521,1842,1845,116.917611739,1,0
11:0:11 11:0:41 10021 100 17,2.000565979,121.435810471,121.454006203,1954,1954,119.453440224,1,0
11:0:11 11:0:41 10010 100 17,2.00028839,121.423720915,121.442270249,1951,1951,119.441981859,1,0
11:0:11 11:0:41 10000 100 17,2,118.360885624,118.380526757,1836,1836,116.380526757,1,0
11:0:11 11:0:41 10039 100 17,2.001052562,117.710087381,117.728584908,1171,1172,115.727532346,1,0
11:0:11 11:0:41 10005 100 17,2.000149595,124.971952657,124.989730992,2089,2089,122.989581397,1,0
11:0:11 11:0:41 10079 100 17,2.003556918,234.254110625,234.263831795,1696495,1696710,232.260274877,3,0
11:0:11 11:0:41 10029 100 17,2.000766171,118.192858834,118.21267036,2942,2943,116.211904189,1,0
11:0:11 11:0:41 10038 100 17,2.001029563,97.963294564,97.98380149,2335,2336,95.982771927,1,0
11:0:11 11:0:41 10043 100 17,2.001200557,128.166216114,128.185486047,2052,2052,126.18428549,1,0
11:0:11 11:0:41 10030 100 17,2.00079097,126.853237842,126.872259176,1775,1775,124.871468206,1,0
11:0:11 11:0:41 10031 100 17,2.000829369,107.656397016,107.677193135,990,991,105.676363766,1,0
11:0:11 11:0:41 10032 100 17,2.000867369,125.477954092,125.496293023,2083,2089,123.495425654,1,0
11:0:11 11:0:41 10033 100 17,2.000892768,122.963514096,122.981332431,1461,1461,120.980439663,1,0
11:0:11 11:0:41 10052 100 17,2.001625147,126.361268972,126.38015411,144221,144265,124.378528963,2,0
11:0:11 11:0:41 10081 100 17,2.003619316,393.743122044,393.745802438,8858012,8858327,391.742183122,3,0
11:0:11 11:0:41 10019 100 17,2.000515781,117.499806976,117.519190704,1838,1838,115.518674923,1,0
11:0:11 11:0:41 10035 100 17,2.000953566,123.996363829,124.013462567,2075,2080,122.012509001,1,0
11:0:11 11:0:41 10037 100 17,2.001004364,118.897446191,118.91812772,1842,1845,116.917123356,1,0
11:0:11 11:0:41 10080 100 17,2.003596117,370.007506156,370.010687747,2301746,2301885,368.00709163,3,0
