flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:,transfer delay:
11:0:11 11:0:41 10099 100 17,2.004456898,238.696446507,238.70377569,941750,941875,10364472,10364472,236.699318792,3,0
11:0:11 11:0:41 10097 100 17,2.0044067,146.536424895,146.553266635,89441,89485,2542913,2542913,144.548859935,3,0
11:0:11 11:0:41 10096 100 17,2.004382301,356.165771852,356.169991034,5511144,5511354,30511896,30511896,354.165608733,3,0
11:0:11 11:0:41 10093 100 17,2.004255905,154.34586787,154.363885615,148408,148471,3335902,3335902,152.35962971,3,0
11:0:11 11:0:41 10092 100 17,2.004231106,140.292923555,140.312400883,57505,57525,1198573,1198573,138.308169777,3,0
11:0:11 11:0:41 10090 100 17,2.004179908,213.247059632,213.259865994,608173,608277,7714714,7714714,211.255686086,3,0
11:0:11 11:0:41 10098 100 17,2.004431499,196.241041503,196.25474126,596463,596590,8188364,8188364,194.250309761,3,0
11:0:11 11:0:41 10088 100 17,2.004114709,573.818868816,573.818928816,23176315,23176655,69544937,69544937,571.814814107,3,0
11:0:11 11:0:41 10087 100 17,2.00381231,398.581513024,398.585249411,7475818,7476121,35995761,35995761,396.581437101,3,0
11:0:11 11:0:41 10086 100 17,2.00378551,336.213881599,336.21810578,6821552,6821879,33912427,33912427,334.21432027,3,0
11:0:11 11:0:41 10085 100 17,2.003735712,216.348940272,216.361164234,513606,513709,7628803,7628803,214.357428522,3,0
11:0:11 11:0:41 10084 100 17,2.003694913,1900.203826995,1900.203895393,620626860,620627503,560815259,560815259,1898.20020048,3,0
11:0:11 11:0:41 10078 100 17,2.003531919,136.430589851,136.447407399,200245,200288,2853423,2853423,134.44387548,3,0
11:0:11 11:0:41 10077 100 17,2.003505119,357.305090688,357.309158871,8260789,8261127,38228287,38228287,355.305653752,3,0
11:0:11 11:0:41 10076 100 17,2.003480519,133.457116706,133.477097836,113809,113834,2397579,2397579,131.473617317,3,0
11:0:11 11:0:41 10075 100 17,2.00317332,211.417178187,211.429831553,712882,712991,7956574,7956574,209.426658233,3,0
11:0:11 11:0:41 10074 100 17,2.003147921,213.385628813,213.395753788,781190,781325,9213437,9213437,211.392605867,3,0
11:0:11 11:0:41 10072 100 17,2.002997722,163.760700617,163.776400571,416274,416363,6413553,6413553,161.773402849,3,0
11:0:11 11:0:41 10070 100 17,2.002896724,451.030333812,451.032441004,3893447,3893652,18110197,18110197,449.02954428,3,0
11:0:11 11:0:41 10069 100 17,2.002859125,738.007880654,738.007940654,46393761,46394121,109111561,109111561,736.005081529,3,0
11:0:11 11:0:41 10068 100 17,2.002834326,201.208281213,201.21978218,629215,629333,8214948,8214948,199.216947854,3,0
11:0:11 11:0:41 10067 100 17,2.002808927,251.689941653,251.696756635,1298632,1298784,13013569,13013569,249.693947708,3,0
11:0:11 11:0:41 10091 100 17,2.004206107,220.180346407,220.190657773,801324,801456,9418714,9418714,218.186451666,3,0
11:0:11 11:0:41 10066 100 17,2.002759129,122.948394285,122.966750414,115215,115252,2269192,2269192,120.963991285,3,0
11:0:11 11:0:41 10065 100 17,2.00273393,127.622636482,127.641884819,79749,79790,2290873,2290873,125.639150889,3,0
11:0:11 11:0:41 10082 100 17,2.003640115,734.786324784,734.786384784,45133516,45133873,108182849,108182849,732.782744669,3,0
11:0:11 11:0:41 10064 100 17,2.002696131,167.393142553,167.393303555,707441,707445,1092205,1092205,165.390607424,3,0
11:0:11 11:0:41 10063 100 17,2.002678732,506.011797243,506.014000437,12626550,12626674,43169564,43169564,504.011321705,3,0
11:0:11 11:0:41 10061 100 17,2.002330535,3207.078445259,3207.078491257,223882320,223882746,266395219,266395219,3205.076160722,3,0
11:0:11 11:0:41 10060 100 17,2.002308136,3525.729126091,3525.729169689,224463114,224463552,266405262,266405262,3523.726861553,3,0
11:0:11 11:0:41 10012 100 17,2.000342988,95.103952425,95.103999024,2296,2296,7688,7688,93.103656036,1,0
11:0:11 11:0:41 10036 100 17,2.000978965,112.959009119,112.959263919,2741,2741,5165,5165,110.958284954,1,0
11:0:11 11:0:41 10024 100 17,2.000641376,118.259549149,118.259883548,2223,2223,4231,4231,116.259242172,1,0
11:0:11 11:0:41 10008 100 17,2.000225192,127.042432952,127.042729552,3787,3787,8068,8068,125.04250436,1,0
11:0:11 11:0:41 10034 100 17,2.000930567,83.045100354,83.045429154,1235,1235,4218,4218,81.044498587,1,0
11:0:11 11:0:41 10026 100 17,2.000691374,124.012932128,124.013263328,2081,2083,2299,2299,122.012571954,1,0
11:0:11 11:0:41 10022 100 17,2.000591378,107.491892405,107.492117407,4045,4045,5862,5862,105.491526029,1,0
11:0:11 11:0:41 10027 100 17,2.000716573,121.618436803,121.618765002,1972,1972,2224,2224,119.618048429,1,0
11:0:11 11:0:41 10049 100 17,2.00143695,5591.182529414,5591.182640212,448141,448141,33752,33752,5589.181203262,2,0
11:0:11 11:0:41 10017 100 17,2.000465783,123.680832566,123.681061367,2084,2084,2286,2286,121.680595584,1,0
11:0:11 11:0:41 10089 100 17,2.004153108,319.236375774,319.241072556,5224236,5224539,28339067,28339067,317.236919448,3,0
11:0:11 11:0:41 10016 100 17,2.000440784,124.066882339,124.06717214,2074,2075,2293,2293,122.066731356,1,0
11:0:11 11:0:41 10023 100 17,2.000616177,118.929023915,118.929329316,1845,1845,2150,2150,116.928713139,1,0
11:0:11 11:0:41 10073 100 17,2.003022521,267.004837164,267.010335949,1325013,1325176,13485036,13485036,265.007313428,3,0
11:0:11 11:0:41 10015 100 17,2.000415785,125.493286991,125.493515992,2083,2083,2293,2293,123.493100207,1,0
11:0:11 11:0:41 10014 100 17,2.000391386,98.292952313,98.293268313,3765,3765,6821,6821,96.292876927,1,0
11:0:11 11:0:41 10053 100 17,2.001653546,175.166580392,175.166857193,51978,51978,289758,289758,173.165203647,2,0
11:0:11 11:0:41 10059 100 17,2.002282737,207.219756866,207.232450836,586051,586160,7664552,7664552,205.230168099,3,0
11:0:11 11:0:41 10013 100 17,2.000365987,118.93392509,118.93423129,1839,1839,2150,2150,116.933865303,1,0
11:0:11 11:0:41 10048 100 17,2.001382151,130.066611237,130.066924037,437751,437752,804459,804459,128.065541886,2,0
11:0:11 11:0:41 10020 100 17,2.00054058,124.023811895,124.023887895,2071,2071,2281,2281,122.023347315,1,0
11:0:11 11:0:41 10025 100 17,2.000666575,121.621462792,121.621610394,1972,1972,2223,2223,119.620943819,1,0
11:0:11 11:0:41 10003 100 17,2.000088397,129.55522691,129.55530031,2772,2772,7982,7982,127.555211913,1,0
11:0:11 11:0:41 10046 100 17,2.001306153,127.448710511,127.448802712,235670,235671,302860,302860,125.447496559,2,0
11:0:11 11:0:41 10001 100 17,2.000025399,127.418611025,127.437741561,5662,5663,7993,7993,125.437716162,1,0
11:0:11 11:0:41 10004 100 17,2.000111396,125.157826417,125.158145617,1692,1692,3768,3768,123.158034221,1,0
11:0:11 11:0:41 10002 100 17,2.000050598,117.556191515,117.556510715,1059,1059,2555,2555,115.556460117,1,0
