flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:11 11:0:41 10099 100 17,2.015403313,199.873296497,199.873270499,66164,66161,945000,943500,197.857867186,3
11:0:11 11:0:41 10097 100 17,2.014783314,199.870398105,199.870372107,66162,66159,945000,943500,197.855588793,3
11:0:11 11:0:41 10096 100 17,2.014472115,199.866440718,199.86641472,66157,66154,916208,914708,197.851942605,3
11:0:11 11:0:41 10093 100 17,2.013635917,199.864050124,199.864024126,66156,66153,919800,918340,197.850388209,3
11:0:11 11:0:41 10092 100 17,2.013324718,199.863132527,199.863106529,66155,66152,945000,943500,197.849781811,3
11:0:11 11:0:41 10090 100 17,2.01270232,173.851893329,174.146693459,47925,48094,795176,795176,172.133991139,3
11:0:11 11:0:41 10098 100 17,2.015094513,199.8723789,199.872352902,66162,66159,937440,935952,197.857258389,3
11:0:11 11:0:41 10088 100 17,2.012222921,199.859758937,199.859724939,66154,66151,915063,913603,197.847502018,3
11:0:11 11:0:41 10087 100 17,2.011911722,199.859447738,199.85942174,66154,66151,945000,943500,197.847510018,3
11:0:11 11:0:41 10086 100 17,2.011608523,199.85883334,199.858807342,66154,66151,912555,911095,197.847198819,3
11:0:11 11:0:41 10085 100 17,2.011297324,199.858300341,199.858274343,66154,66151,945000,943500,197.846977019,3
11:0:11 11:0:41 10084 100 17,2.011170925,199.856633947,199.856423149,66160,66157,363002,362426,197.845252224,3
11:0:11 11:0:41 10078 100 17,2.009311731,199.851985164,199.851959166,66148,66144,943980,942480,197.842647435,3
11:0:11 11:0:41 10077 100 17,2.009081931,199.851370766,199.851344768,66147,66144,688590,687497,197.842262837,3
11:0:11 11:0:41 10076 100 17,2.008770732,199.850829767,199.850803769,66147,66144,945000,943500,197.842033037,3
11:0:11 11:0:41 10075 100 17,2.008459533,199.850215369,199.850189371,66147,66144,945000,943500,197.841729838,3
11:0:11 11:0:41 10074 100 17,2.008440334,98.20166683,98.514970729,15079,15166,379564,379564,96.506530395,3
11:0:11 11:0:41 10072 100 17,2.007899335,199.785711157,199.78560376,66031,66027,687497,686404,197.777704425,3
11:0:11 11:0:41 10070 100 17,2.007276937,199.834147215,199.834121217,66133,66130,945000,943500,197.82684428,3
11:0:11 11:0:41 10069 100 17,2.006965738,199.827446236,199.827420238,66129,66126,945000,943500,197.8204545,3
11:0:11 11:0:41 10068 100 17,2.006654539,199.813622074,199.813596076,66122,66119,945000,943500,197.806941537,3
11:0:11 11:0:41 10067 100 17,2.00635134,199.784258159,199.784232161,66103,66100,918340,916880,197.777880821,3
11:0:11 11:0:41 10091 100 17,2.013013519,199.86219893,199.862172932,66154,66151,945000,943500,197.849159413,3
11:0:11 11:0:41 10066 100 17,2.00612154,199.893439839,199.893413841,66173,66170,688590,687497,197.887292301,3
11:0:11 11:0:41 10065 100 17,2.005810341,199.891663643,199.891637645,66173,66170,936280,934780,197.885827304,3
11:0:11 11:0:41 10082 100 17,2.010556527,199.854221155,199.854187157,66151,66148,916939,915479,197.84363063,3
11:0:11 11:0:41 10064 100 17,2.005791142,199.92005976,199.920033762,66190,66187,942216,940716,197.91424262,3
11:0:11 11:0:41 10063 100 17,2.005487943,199.888722451,199.888696453,66173,66170,919800,918340,197.88320851,3
11:0:11 11:0:41 10061 100 17,2.005155145,199.785399958,199.78537396,54189,54155,791772,790272,197.780218815,3
11:0:11 11:0:41 10060 100 17,2.004846345,199.885319064,199.885293066,66169,66166,937440,935952,197.880446721,3
11:0:11 11:0:41 10012 100 17,2.00060319,23.320834138,23.669423667,809,833,8239,8239,21.668820477,1
11:0:11 11:0:41 10036 100 17,2.001965767,13.445143086,13.817961298,264,282,8364,8364,11.815995531,1
11:0:11 11:0:41 10024 100 17,2.001231178,14.809096663,15.174100883,304,318,8198,8198,13.172869705,1
11:0:11 11:0:41 10008 100 17,2.000334193,13.071969364,13.445877683,256,276,8325,8325,11.44554349,1
