flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:11 11:0:41 10099 100 17,2.015403313,199.774627073,199.774601075,66232,66229,945000,943500,197.759197762,3
11:0:11 11:0:41 10097 100 17,2.014783314,199.771314081,199.771288083,66228,66225,945000,943500,197.756504769,3
11:0:11 11:0:41 10096 100 17,2.014472115,199.769017289,199.768991291,66226,66223,916208,914708,197.754519176,3
11:0:11 11:0:41 10093 100 17,2.013635917,199.767167694,199.767141696,66225,66222,919800,918340,197.753505779,3
11:0:11 11:0:41 10092 100 17,2.013324718,199.766250097,199.766224099,66225,66222,945000,943500,197.752899381,3
11:0:11 11:0:41 10090 100 17,2.01270232,173.777271732,174.070351272,48006,48175,795176,795176,172.057648952,3
11:0:11 11:0:41 10098 100 17,2.015094513,199.772857278,199.77283128,66228,66225,937440,935952,197.757736767,3
11:0:11 11:0:41 10088 100 17,2.012222921,199.762349309,199.762315311,66223,66220,915063,913603,197.75009239,3
11:0:11 11:0:41 10087 100 17,2.011911722,199.76203811,199.762012112,66222,66219,945000,943500,197.75010039,3
11:0:11 11:0:41 10086 100 17,2.011608523,199.761201912,199.761167914,66220,66217,912555,911095,197.749559391,3
11:0:11 11:0:41 10085 100 17,2.011297324,199.760890713,199.760864715,66220,66217,945000,943500,197.749567391,3
11:0:11 11:0:41 10084 100 17,2.011170925,199.769328488,199.76911769,66365,66361,375674,375098,197.757946765,3
11:0:11 11:0:41 10078 100 17,2.009311731,199.754759533,199.754733535,66217,66214,943980,942480,197.745421804,3
11:0:11 11:0:41 10077 100 17,2.009081931,199.761505111,199.761397714,66305,66302,701706,700613,197.752315783,3
11:0:11 11:0:41 10076 100 17,2.008770732,199.753833936,199.753807938,66216,66213,945000,943500,197.745037206,3
11:0:11 11:0:41 10075 100 17,2.008459533,199.753219538,199.75319354,66216,66213,945000,943500,197.744734007,3
11:0:11 11:0:41 10074 100 17,2.008440334,91.076722722,91.385461634,13264,13344,379564,379564,89.3770213,3
11:0:11 11:0:41 10072 100 17,2.007899335,199.986167858,199.98614186,66394,66391,701706,700613,197.978242525,3
11:0:11 11:0:41 10070 100 17,2.007276937,199.738637582,199.738611584,66208,66205,945000,943500,197.731334647,3
11:0:11 11:0:41 10069 100 17,2.006965738,199.731635003,199.731609005,66202,66199,945000,943500,197.724643267,3
11:0:11 11:0:41 10068 100 17,2.006654539,199.717973237,199.717947239,66193,66190,945000,943500,197.7112927,3
11:0:11 11:0:41 10067 100 17,2.00635134,199.985642859,199.985608861,66372,66369,919800,918340,197.979257521,3
11:0:11 11:0:41 10091 100 17,2.013013519,199.764789302,199.764763304,66225,66222,945000,943500,197.751749785,3
11:0:11 11:0:41 10066 100 17,2.00612154,199.813028559,199.813002561,66274,66270,691869,690776,197.806881021,3
11:0:11 11:0:41 10065 100 17,2.005810341,199.795456811,199.795430813,66244,66241,936280,934780,197.789620472,3
