,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10099 100 17,2.004456898,235.999032352,236.00640893,925003,925147,10364472,10364472,234.001952032,3,0,2.004456898,238.696446507,238.70377569,941750,941875,10364472,10364472,236.699318792,3,0,2.6973667600000226,1.1527112216701318
1,11:0:11 11:0:41 10097 100 17,2.0044067,142.265973613,142.285868753,83824,83859,2542913,2542913,140.281462053,3,0,2.0044067,146.536424895,146.553266635,89441,89485,2542913,2542913,144.548859935,3,0,4.267397881999983,3.0420255246468053
2,11:0:11 11:0:41 10096 100 17,2.004382301,353.654457595,353.658401578,5465426,5465638,30511896,30511896,351.654019277,3,0,2.004382301,356.165771852,356.169991034,5511144,5511354,30511896,30511896,354.165608733,3,0,2.5115894560000243,0.7142217402104056
3,11:0:11 11:0:41 10093 100 17,2.004255905,150.274746511,150.292520055,141217,141268,3335902,3335902,148.28826415,3,0,2.004255905,154.34586787,154.363885615,148408,148471,3335902,3335902,152.35962971,3,0,4.071365560000004,2.7455750347725707
4,11:0:11 11:0:41 10092 100 17,2.004231106,140.723312276,140.740631816,58070,58091,1198573,1198573,138.73640071,3,0,2.004231106,140.292923555,140.312400883,57505,57525,1198573,1198573,138.308169777,3,0,-0.4282309330000089,-0.3086651598343955
5,11:0:11 11:0:41 10090 100 17,2.004179908,209.082806041,209.092012613,585034,585134,7714714,7714714,207.087832705,3,0,2.004179908,213.247059632,213.259865994,608173,608277,7714714,7714714,211.255686086,3,0,4.167853380999986,2.012601767355961
6,11:0:11 11:0:41 10098 100 17,2.004431499,191.321241995,191.336726751,568625,568726,8188364,8188364,189.332295252,3,0,2.004431499,196.241041503,196.25474126,596463,596590,8188364,8188364,194.250309761,3,0,4.918014509000017,2.5975571164201927
7,11:0:11 11:0:41 10088 100 17,2.004114709,570.749505487,570.749565487,23254478,23254821,69544937,69544937,568.745450778,3,0,2.004114709,573.818868816,573.818928816,23176315,23176655,69544937,69544937,571.814814107,3,0,3.069363328999998,0.5396725942689028
8,11:0:11 11:0:41 10087 100 17,2.00381231,394.155684255,394.157750846,7316648,7316952,35995761,35995761,392.153938536,3,0,2.00381231,398.581513024,398.585249411,7475818,7476121,35995761,35995761,396.581437101,3,0,4.427498565000008,1.129020552880042
9,11:0:11 11:0:41 10086 100 17,2.00378551,333.657393942,333.662445326,6806784,6807108,33912427,33912427,331.658659816,3,0,2.00378551,336.213881599,336.21810578,6821552,6821879,33912427,33912427,334.21432027,3,0,2.5556604539999626,0.7705694931704212
10,11:0:11 11:0:41 10085 100 17,2.003735712,210.492812199,210.504578167,482709,482809,7628803,7628803,208.500842455,3,0,2.003735712,216.348940272,216.361164234,513606,513709,7628803,7628803,214.357428522,3,0,5.856586066999995,2.808902831298632
11,11:0:11 11:0:41 10084 100 17,2.003694913,1894.652820854,1894.652889252,617517849,617518506,560815259,560815259,1892.649194339,3,0,2.003694913,1900.203826995,1900.203895393,620626860,620627503,560815259,560815259,1898.20020048,3,0,5.551006141000016,0.29329292283024916
12,11:0:11 11:0:41 10078 100 17,2.003531919,135.382932489,135.402356626,198503,198551,2853423,2853423,133.398824707,3,0,2.003531919,136.430589851,136.447407399,200245,200288,2853423,2853423,134.44387548,3,0,1.045050773000014,0.7834032835711902
13,11:0:11 11:0:41 10077 100 17,2.003505119,355.005621404,355.01060698,8241929,8242270,38228287,38228287,353.007101861,3,0,2.003505119,357.305090688,357.309158871,8260789,8261127,38228287,38228287,355.305653752,3,0,2.2985518909999882,0.6511347445652993
