,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10099 100 17,2.015403313,28.571043532,28.60590003,11413,11439,1050000,1050000,26.590496717,3,0,2.015403313,28.928315497,28.960114207,11773,11799,1050000,1050000,26.944710894,3,0,0.35421417699999935,1.3321081616859791
1,11:0:11 11:0:41 10097 100 17,2.014783314,51.747150961,51.747775359,12632,12656,1049369,1049369,49.732992045,3,0,2.014783314,52.190542388,52.191166786,13028,13053,1049369,1049369,50.176383472,3,0,0.44339142699999456,0.8915438399499468
2,11:0:11 11:0:41 10096 100 17,2.014472115,29.157748939,29.166205119,12275,12302,1049895,1049895,27.151733004,3,0,2.014472115,29.454685162,29.461175149,12653,12679,1049895,1049895,27.446703034,3,0,0.2949700299999982,1.0863764385004198
3,11:0:11 11:0:41 10093 100 17,2.013635917,29.098306286,29.108219463,12127,12154,1049740,1049740,27.094583546,3,0,2.013635917,29.379920937,29.389026116,12470,12497,1049740,1049740,27.375390199,3,0,0.2808066530000026,1.0363940546392285
4,11:0:11 11:0:41 10092 100 17,2.013324718,28.561917158,28.597058856,11408,11434,1050000,1050000,26.583734138,3,0,2.013324718,28.920384919,28.952468829,11771,11797,1050000,1050000,26.939144111,3,0,0.35540997300000043,1.3369452581605579
5,11:0:11 11:0:41 10090 100 17,2.01270232,25.735027806,25.770530104,7026,7046,795176,795176,23.757827784,3,0,2.01270232,26.367229629,26.400700135,7307,7328,795176,795176,24.387997815,3,0,0.6301700309999987,2.6524732678818155
6,11:0:11 11:0:41 10098 100 17,2.015094513,28.694065781,28.714563527,11558,11584,1049040,1049040,26.699469014,3,0,2.015094513,29.038814795,29.057495549,11921,11948,1049040,1049040,27.042401036,3,0,0.3429320219999994,1.2844151388186082
7,11:0:11 11:0:41 10088 100 17,2.012222921,29.132425801,29.141474181,12315,12342,1049383,1049383,27.12925126,3,0,2.012222921,29.409938863,29.417934846,12646,12673,1049383,1049383,27.405711925,3,0,0.27646066499999833,1.0190501107106424
8,11:0:11 11:0:41 10087 100 17,2.011911722,28.557786771,28.592928469,11403,11429,1050000,1050000,26.581016747,3,0,2.011911722,28.914627136,28.946711046,11766,11792,1050000,1050000,26.934799324,3,0,0.3537825770000005,1.3309595353982435
9,11:0:11 11:0:41 10086 100 17,2.011608523,29.134964194,29.144097573,12222,12249,1049795,1049795,27.13248905,3,0,2.011608523,29.426091625,29.43348121,12599,12625,1049795,1049795,27.421872687,3,0,0.28938363700000025,1.0665576477953107
10,11:0:11 11:0:41 10085 100 17,2.011297324,28.555416577,28.590558275,11402,11428,1050000,1050000,26.579260951,3,0,2.011297324,28.914004738,28.946088648,11765,11791,1050000,1050000,26.934791324,3,0,0.35553037300000057,1.3376232456404111
11,11:0:11 11:0:41 10084 100 17,2.011170925,30.646213432,30.64646823,46061,46089,1048715,1048715,28.635297305,3,0,2.011170925,21.885010841,21.885341042,22949,22968,1048715,1048715,19.874170117,3,0,-8.761127188000003,-30.595551688126616
12,11:0:11 11:0:41 10078 100 17,2.009311731,28.553246184,28.588387882,11397,11423,1048980,1048980,26.579076151,3,0,2.009311731,28.911227947,28.943311857,11761,11787,1048980,1048980,26.934000126,3,0,0.35492397500000195,1.3353510595463207
13,11:0:11 11:0:41 10077 100 17,2.009081931,29.876419443,29.878508642,19173,19200,1049280,1049280,27.869426711,3,0,2.009081931,30.078093515,30.079646115,19591,19619,1049280,1049280,28.070564184,3,0,0.2011374729999993,0.7217137083075009
