,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10099 100 17,2.015403313,83.183409372,83.29053846,31215,31296,1050000,1050000,81.275135147,3,0,2.015403313,82.924488274,83.024381381,31267,31348,1050000,1050000,81.008978068,3,0,-0.26615707899999563,-0.3274766366350606
1,11:0:11 11:0:41 10097 100 17,2.014783314,103.064268447,103.065190792,32520,32597,1049369,1049369,101.050407478,3,0,2.014783314,103.419502474,103.420126872,32899,32975,1049369,1049369,101.405343558,3,0,0.35493608000000165,0.3512465598689208
2,11:0:11 11:0:41 10096 100 17,2.014472115,84.624790955,84.648334903,33502,33584,1049895,1049895,82.633862788,3,0,2.014472115,84.667584128,84.691622675,33792,33874,1049895,1049895,82.67715056,3,0,0.043287771999999336,0.05238502780761392
3,11:0:11 11:0:41 10093 100 17,2.013635917,84.337275044,84.387196716,32829,32911,1049740,1049740,82.373560799,3,0,2.013635917,84.381762017,84.42441131,33115,33197,1049740,1049740,82.410775393,3,0,0.03721459399999105,0.045177838178925525
4,11:0:11 11:0:41 10092 100 17,2.013324718,83.174090395,83.281219483,31208,31289,1050000,1050000,81.267894765,3,0,2.013324718,83.402573881,83.487896235,31650,31731,1050000,1050000,81.474571517,3,0,0.206676752000007,0.25431537582909974
5,11:0:11 11:0:41 10090 100 17,2.01270232,67.896229813,68.004306695,18686,18749,795176,795176,65.991604375,3,0,2.01270232,68.45188281,68.559812691,18978,19041,795176,795176,66.547110371,3,0,0.5555059960000079,0.8417828317119286
6,11:0:11 11:0:41 10098 100 17,2.015094513,83.581972852,83.642593893,31635,31716,1049040,1049040,81.62749938,3,0,2.015094513,83.571516799,83.640795809,31841,31922,1049040,1049040,81.625701296,3,0,-0.0017980840000006992,-0.00220279196797404
7,11:0:11 11:0:41 10088 100 17,2.012222921,84.487427261,84.517591397,33138,33219,1049383,1049383,82.505368476,3,0,2.012222921,84.273192106,84.321030981,32950,33032,1049383,1049383,82.30880806,3,0,-0.19656041599999696,-0.23823954686921306
8,11:0:11 11:0:41 10087 100 17,2.011911722,83.170102407,83.277231495,31206,31287,1050000,1050000,81.265319773,3,0,2.011911722,83.398027895,83.483639849,31648,31729,1050000,1050000,81.471728127,3,0,0.20640835400000412,0.2539931603992559
9,11:0:11 11:0:41 10086 100 17,2.011608523,84.545287335,84.570917877,33267,33349,1049795,1049795,82.559309354,3,0,2.011608523,84.662270142,84.686300689,33789,33871,1049795,1049795,82.674692166,3,0,0.1153828119999929,0.1397574821093178
