,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10099 100 17,2.015403313,199.873296497,199.873270499,66164,66161,945000,943500,197.857867186,3,0,2.015403313,199.774627073,199.774601075,66232,66229,945000,943500,197.759197762,3,0,-0.09866942399997924,-0.04986884039704279
1,11:0:11 11:0:41 10097 100 17,2.014783314,199.870398105,199.870372107,66162,66159,945000,943500,197.855588793,3,0,2.014783314,199.771314081,199.771288083,66228,66225,945000,943500,197.756504769,3,0,-0.09908402400000682,-0.05007896143063731
2,11:0:11 11:0:41 10096 100 17,2.014472115,199.866440718,199.86641472,66157,66154,916208,914708,197.851942605,3,0,2.014472115,199.769017289,199.768991291,66226,66223,916208,914708,197.754519176,3,0,-0.09742342900000267,-0.04924057237815599
3,11:0:11 11:0:41 10093 100 17,2.013635917,199.864050124,199.864024126,66156,66153,919800,918340,197.850388209,3,0,2.013635917,199.767167694,199.767141696,66225,66222,919800,918340,197.753505779,3,0,-0.09688242999999375,-0.048967520800440194
4,11:0:11 11:0:41 10092 100 17,2.013324718,199.863132527,199.863106529,66155,66152,945000,943500,197.849781811,3,0,2.013324718,199.766250097,199.766224099,66225,66222,945000,943500,197.752899381,3,0,-0.09688243000002217,-0.048967670883039466
5,11:0:11 11:0:41 10090 100 17,2.01270232,173.851893329,174.146693459,47925,48094,795176,795176,172.133991139,3,0,2.01270232,173.777271732,174.070351272,48006,48175,795176,795176,172.057648952,3,0,-0.07634218699999451,-0.044350442637646974
6,11:0:11 11:0:41 10098 100 17,2.015094513,199.8723789,199.872352902,66162,66159,937440,935952,197.857258389,3,0,2.015094513,199.772857278,199.77283128,66228,66225,937440,935952,197.757736767,3,0,-0.09952162199999748,-0.05029970738012129
7,11:0:11 11:0:41 10088 100 17,2.012222921,199.859758937,199.859724939,66154,66151,915063,913603,197.847502018,3,0,2.012222921,199.762349309,199.762315311,66223,66220,915063,913603,197.75009239,3,0,-0.0974096280000083,-0.0492347019833215
8,11:0:11 11:0:41 10087 100 17,2.011911722,199.859447738,199.85942174,66154,66151,945000,943500,197.847510018,3,0,2.011911722,199.76203811,199.762012112,66222,66219,945000,943500,197.75010039,3,0,-0.0974096280000083,-0.04923469999250739
9,11:0:11 11:0:41 10086 100 17,2.011608523,199.85883334,199.858807342,66154,66151,912555,911095,197.847198819,3,0,2.011608523,199.761201912,199.761167914,66220,66217,912555,911095,197.749559391,3,0,-0.09763942800000791,-0.04935092767693572
10,11:0:11 11:0:41 10085 100 17,2.011297324,199.858300341,199.858274343,66154,66151,945000,943500,197.846977019,3,0,2.011297324,199.760890713,199.760864715,66220,66217,945000,943500,197.749567391,3,0,-0.0974096280000083,-0.04923483263060101
11,11:0:11 11:0:41 10084 100 17,2.011170925,199.856633947,199.856423149,66160,66157,363002,362426,197.845252224,3,0,2.011170925,199.769328488,199.76911769,66365,66361,375674,375098,197.757946765,3,0,-0.08730545899999242,-0.04412815471616441
12,11:0:11 11:0:41 10078 100 17,2.009311731,199.851985164,199.851959166,66148,66144,943980,942480,197.842647435,3,0,2.009311731,199.754759533,199.754733535,66217,66214,943980,942480,197.745421804,3,0,-0.0972256310000148,-0.049142908397421074
13,11:0:11 11:0:41 10077 100 17,2.009081931,199.851370766,199.851344768,66147,66144,688590,687497,197.842262837,3,0,2.009081931,199.761505111,199.761397714,66305,66302,701706,700613,197.752315783,3,0,-0.08994705399999248,-0.045464024071590226
14,11:0:11 11:0:41 10076 100 17,2.008770732,199.850829767,199.850803769,66147,66144,945000,943500,197.842033037,3,0,2.008770732,199.753833936,199.753807938,66216,66213,945000,943500,197.745037206,3,0,-0.09699583099998677,-0.049026907735954584
15,11:0:11 11:0:41 10075 100 17,2.008459533,199.850215369,199.850189371,66147,66144,945000,943500,197.841729838,3,0,2.008459533,199.753219538,199.75319354,66216,66213,945000,943500,197.744734007,3,0,-0.09699583099998677,-0.04902698287131359
16,11:0:11 11:0:41 10074 100 17,2.008440334,98.20166683,98.514970729,15079,15166,379564,379564,96.506530395,3,0,2.008440334,91.076722722,91.385461634,13264,13344,379564,379564,89.3770213,3,0,-7.129509095000003,-7.387592389674577
17,11:0:11 11:0:41 10072 100 17,2.007899335,199.785711157,199.78560376,66031,66027,687497,686404,197.777704425,3,0,2.007899335,199.986167858,199.98614186,66394,66391,701706,700613,197.978242525,3,0,0.20053810000001704,0.10139570614546385
18,11:0:11 11:0:41 10070 100 17,2.007276937,199.834147215,199.834121217,66133,66130,945000,943500,197.82684428,3,0,2.007276937,199.738637582,199.738611584,66208,66205,945000,943500,197.731334647,3,0,-0.09550963299997761,-0.04827940987866908
