,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10099 100 17,2.015473713,199.876061633,199.876035635,66164,66161,945000,943500,197.860561922,3,2.015473713,199.739070878,199.73904488,66210,66207,945000,943500,197.723571167,3,-0.13699075499999935,-0.06923600826222431
1,11:0:11 11:0:41 10097 100 17,2.014853714,199.87347444,199.873448442,66162,66159,945000,943500,197.858594728,3,2.014853714,199.736380284,199.736354286,66207,66204,945000,943500,197.721500572,3,-0.13709415600001762,-0.06928895668569948
2,11:0:11 11:0:41 10096 100 17,2.014542515,199.868670656,199.868644658,66161,66158,916208,914708,197.854102143,3,2.014542515,199.732731897,199.732705899,66207,66204,916208,914708,197.718163384,3,-0.1359387589999983,-0.06870656586222706
3,11:0:11 11:0:41 10093 100 17,2.013706317,199.86689446,199.866868462,66158,66155,919800,918340,197.853162145,3,2.013706317,199.730955701,199.730929703,66205,66202,919800,918340,197.717223386,3,-0.1359387589999983,-0.0687068922862973
4,11:0:11 11:0:41 10092 100 17,2.013395118,199.866288062,199.866262064,66157,66154,945000,943500,197.852866946,3,2.013395118,199.730349303,199.730323305,66204,66201,945000,943500,197.716928187,3,-0.1359387589999983,-0.06870699479785657
5,11:0:11 11:0:41 10090 100 17,2.01277272,173.859992448,174.154878578,47927,48096,795176,795176,172.142105858,3,2.01277272,173.746472889,174.038903833,47984,48153,795176,795176,172.026131113,3,-0.11597474500001681,-0.06737151519203811
6,11:0:11 11:0:41 10098 100 17,2.015164913,199.875144036,199.875118038,66163,66159,937440,935952,197.859953125,3,2.015164913,199.738153281,199.738127283,66208,66205,937440,935952,197.72296237,3,-0.13699075499999935,-0.06923622129509657
7,11:0:11 11:0:41 10088 100 17,2.012293321,199.862300074,199.862266076,66154,66151,915063,913603,197.849972755,3,2.012293321,199.726058116,199.726024118,66199,66196,915063,913603,197.713730797,3,-0.13624195799999939,-0.06886124678354616
8,11:0:11 11:0:41 10087 100 17,2.011982122,199.861988875,199.861962877,66154,66151,945000,943500,197.849980755,3,2.011982122,199.725746917,199.725720919,66199,66196,945000,943500,197.713738797,3,-0.13624195799999939,-0.06886124399916392
9,11:0:11 11:0:41 10086 100 17,2.011678923,199.861677676,199.861651678,66154,66151,912555,911095,197.849972755,3,2.011678923,199.725435718,199.72540972,66199,66196,912555,911095,197.713730797,3,-0.13624195799999939,-0.06886124678354616
10,11:0:11 11:0:41 10085 100 17,2.011367724,199.861071278,199.86104528,66154,66151,945000,943500,197.849677556,3,2.011367724,199.72482932,199.724803322,66198,66195,945000,943500,197.713435598,3,-0.13624195799999939,-0.06886134952706054
11,11:0:11 11:0:41 10084 100 17,2.011241325,199.903480153,199.903454155,66194,66191,363578,363002,197.89221283,3,2.011241325,199.776800368,199.776670969,66327,66324,371642,371066,197.765429644,3,-0.12678318600001148,-0.06406678877704249
12,11:0:11 11:0:41 10078 100 17,2.009382131,199.854680899,199.854654901,66152,66149,943980,942480,197.84527277,3,2.009382131,199.718014541,199.717988543,66195,66192,943980,942480,197.708606412,3,-0.1366663580000136,-0.06907739370598537
13,11:0:11 11:0:41 10077 100 17,2.009152331,199.854066501,199.854040503,66151,66148,688590,687497,197.844888172,3,2.009152331,199.717400143,199.717374145,66195,66192,688590,687497,197.708221814,3,-0.13666635799998517,-0.06907752798807307
14,11:0:11 11:0:41 10076 100 17,2.008841132,199.853525502,199.853499504,66150,66147,945000,943500,197.844658372,3,2.008841132,199.716859144,199.716833146,66194,66191,945000,943500,197.707992014,3,-0.13666635799998517,-0.06907760822281918
15,11:0:11 11:0:41 10075 100 17,2.008529933,199.852911104,199.852885106,66149,66146,945000,943500,197.844355173,3,2.008529933,199.716244746,199.716218748,66194,66191,945000,943500,197.707688815,3,-0.13666635799998517,-0.06907771408513562
16,11:0:11 11:0:41 10074 100 17,2.008510734,98.202752366,98.516060267,15079,15166,379564,379564,96.507549533,3,2.008510734,90.131888187,90.442341298,13028,13107,379564,379564,88.433830564,3,-8.073718968999998,-8.365893661240722
