,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10296 100 17,2.048063533,27.929479381,28.047824234,3263,3289,306000,306000,25.999760701,3,0,2.048063533,28.734931832,28.852877687,3426,3452,306000,306000,26.804814154,3,0,0.8050534529999993,3.0963879331744595
1,11:0:11 11:0:41 10295 100 17,2.047752334,83.218232466,83.326254155,31233,31314,1050000,1050000,81.278501821,3,0,2.047752334,83.509349446,83.586669229,31734,31815,1050000,1050000,81.538916895,3,0,0.26041507399999375,0.32039846720293513
2,11:0:11 11:0:41 10292 100 17,2.046908936,87.502772388,87.507953175,53718,53803,1049280,1049280,85.461044239,3,0,2.046908936,87.500673773,87.505565562,53998,54083,1049280,1049280,85.458656626,3,0,-0.002387612999996236,-0.002793802745165443
3,11:0:11 11:0:41 10291 100 17,2.046597737,83.214408478,83.322144967,31232,31313,1050000,1050000,81.27554723,3,0,2.046597737,83.127176946,83.229361852,31421,31502,1050000,1050000,81.182764115,3,0,-0.09278311500000314,-0.11415870844577411
4,11:0:11 11:0:41 10290 100 17,2.046286538,84.205903383,84.256785251,32563,32645,1049941,1049941,82.210498713,3,0,2.046286538,84.456549526,84.495505631,33142,33224,1049941,1049941,82.449219093,3,0,0.23872037999998952,0.29037700018506335
5,11:0:11 11:0:41 10289 100 17,2.046062539,88.281903497,88.282353495,56053,56138,1049104,1049104,86.236290956,3,0,2.046062539,88.363777148,88.364354346,56668,56753,1049104,1049104,86.318291807,3,0,0.08200085099998944,0.09508856432824599
6,11:0:11 11:0:41 10286 100 17,2.045136942,83.209880692,83.317585782,31230,31311,1050000,1050000,81.27244884,3,0,2.045136942,83.41641691,83.503952064,31652,31733,1050000,1050000,81.458815122,3,0,0.1863662820000087,0.22931052854935574
7,11:0:11 11:0:41 10285 100 17,2.044825743,83.209258294,83.316963384,31230,31311,1050000,1050000,81.272137641,3,0,2.044825743,83.321374781,83.414549317,31571,31652,1050000,1050000,81.369723574,3,0,0.09758593300000484,0.12007304819650133
8,11:0:11 11:0:41 10284 100 17,2.044522544,84.342795026,84.3920943,32832,32914,1049740,1049740,82.347571756,3,0,2.044522544,84.355118984,84.400623069,33019,33101,1049740,1049740,82.356100525,3,0,0.008528769000008651,0.010357037637102188
9,11:0:11 11:0:41 10283 100 17,2.044211345,83.207718299,83.315423389,31228,31309,1050000,1050000,81.271212044,3,0,2.044211345,82.914829365,83.017129068,31259,31340,1050000,1050000,80.972917723,3,0,-0.2982943210000002,-0.36703564952188056
10,11:0:11 11:0:41 10288 100 17,2.04575934,84.626600946,84.649731896,33149,33230,1049740,1049740,82.603972556,3,0,2.04575934,84.766321418,84.787762374,33718,33800,1049740,1049740,82.742003034,3,0,0.13803047800000456,0.16709907977661614
11,11:0:11 11:0:41 10282 100 17,2.043900146,83.2074071,83.31511219,31226,31307,1050000,1050000,81.271212044,3,0,2.043900146,83.220945273,83.319499188,31491,31572,1050000,1050000,81.275599042,3,0,0.0043869980000010855,0.005397972897987516
12,11:0:11 11:0:41 10280 100 17,2.043277748,83.205014907,83.312719997,31224,31305,1050000,1050000,81.269442249,3,0,2.043277748,83.499315876,83.578439852,31723,31804,1050000,1050000,81.535162104,3,0,0.2657198550000004,0.3269615831567615
13,11:0:11 11:0:41 10277 100 17,2.04235375,83.202935512,83.310640602,31223,31304,1050000,1050000,81.268286852,3,0,2.04235375,83.316001197,83.409486932,31567,31648,1050000,1050000,81.367133182,3,0,0.09884633000000065,0.12162964648192046
14,11:0:11 11:0:41 10276 100 17,2.042050551,84.339895433,84.389505906,32826,32908,1049740,1049740,82.347455355,3,0,2.042050551,84.481744063,84.518662575,33252,33334,1049740,1049740,82.476612024,3,0,0.129156669000011,0.15684354597627384
