,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10198 100 17,7.010182752,1517.340282195,1517.340545992,137411725,137412750,88826839,88826839,1510.33036324,3,0,7.010538424,1498.873019584,1498.873291982,127629279,127630248,88826839,88826839,1491.862753558,3,0,-18.467609682000102,-1.2227529904373309
1,11:0:11 11:0:41 10195 100 17,7.009490956,773.308333181,773.317094749,15350007,15350737,32953236,32953236,766.307603793,3,0,7.009846628,854.857817626,854.865956563,18276247,18277047,32953236,32953236,847.856109935,3,0,81.54850614199995,10.641745656490754
2,11:0:11 11:0:41 10193 100 17,7.009319158,497.680359952,497.699379295,2984658,2985061,15111218,15111218,490.690060137,3,0,7.00967483,630.302816929,630.31854808,3988304,3988851,15111218,15111218,623.30887325,3,0,132.61881311300004,27.02700215202506
3,11:0:11 11:0:41 10192 100 17,7.009281559,517.409520029,517.425949372,4568986,4569494,1333486,1333486,510.416667813,3,0,7.009637231,324.061897553,324.062207953,2432877,2432912,1333486,1333486,317.052570722,3,0,-193.36409709100002,-37.883578120501795
4,11:0:11 11:0:41 10190 100 17,7.009194761,660.374910691,660.389896644,9309916,9310551,24711438,24711438,653.380701883,3,0,7.009550433,607.070820514,607.087730453,7303768,7304338,24711438,24711438,600.07818002,3,0,-53.30252186300004,-8.15795778929278
5,11:0:11 11:0:41 10187 100 17,7.009095565,334.601833316,334.639757996,1032821,1033086,8163612,8163612,327.630662431,3,0,7.009451237,432.092646437,432.133376507,1379220,1379595,8163612,8163612,425.12392527,3,0,97.49326283899995,29.757063064734464
6,11:0:11 11:0:41 10186 100 17,7.009070166,354.94551488,354.976832171,1095583,1095865,8381714,8381714,347.967762005,3,0,7.009425838,453.127091511,453.171484577,1460078,1460476,8381714,8381714,446.162058739,3,0,98.19429673399998,28.219366118344325
7,11:0:11 11:0:41 10185 100 17,7.009045367,297.63501919,297.674165251,700779,700978,5636747,5636747,290.665119884,3,0,7.009401039,360.953937812,361.024841399,856899,857171,5636747,5636747,354.01544036,3,0,63.350320476000036,21.79495100797859
8,11:0:11 11:0:41 10183 100 17,7.007098573,594.456879258,594.471547208,6884426,6885000,20457259,20457259,587.464448635,3,0,7.007584644,521.657920325,521.686180846,7478388,7478877,20457259,20457259,514.678596202,3,0,-72.78585243300006,-12.389831010560936
9,11:0:11 11:0:41 10181 100 17,7.007042575,677.829160054,677.843144008,9254241,9254855,3083719,3083719,670.836101433,3,0,7.007528646,511.81996622,511.820422621,5859329,5859403,3083719,3083719,504.812893975,3,0,-166.02320745799994,-24.748698989716132
10,11:0:11 11:0:41 10179 100 17,7.006978577,670.276461387,670.291951739,10273279,10273936,26389332,26389332,663.284973162,3,0,7.007464648,626.495915938,626.510159894,8091227,8091835,26389332,26389332,619.502695246,3,0,-43.782277916,-6.600824636095994
11,11:0:11 11:0:41 10177 100 17,7.00632678,242.353537665,242.395337912,361651,361788,4143216,4143216,235.389011132,3,0,7.006276452,286.071167858,286.121661291,432471,432671,4143216,4143216,279.115384839,3,0,43.72637370699999,18.57621708707523
12,11:0:11 11:0:41 10176 100 17,7.006309381,218.299811303,218.345557554,250548,250643,2550923,2550923,211.339248173,3,0,7.006259053,242.248652989,242.316347965,269529,269649,2550923,2550923,235.310088912,3,0,23.97084073900001,11.34235166739012
13,11:0:11 11:0:41 10174 100 17,7.005788585,379.64061173,379.669286636,1245523,1245797,8941637,8941637,372.663498051,3,0,7.005738257,492.651120513,492.711432597,1604452,1604858,8941637,8941637,485.70569434,3,0,113.042196289,30.333584287219317
