,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10198 100 17,7.000001901,1513.069953675,1513.070099996,137379030,137380048,88826839,88826839,1506.070098095,3,0,7.000001901,1076.305342545,1076.305778539,46278205,46279069,46944200,46944200,1069.305776638,3,0,-436.76432145700005,-29.00026512772912
1,11:0:11 11:0:41 10195 100 17,7.000001757,771.651570502,771.660711265,15322783,15323509,32953236,32953236,764.660709508,3,0,7.000001757,843.47770679,843.485349356,18157715,18158509,32953236,32953236,836.485347599,3,0,71.824638091,9.39300753888788
2,11:0:11 11:0:41 10193 100 17,7.000001689,498.265878577,498.285675308,2996783,2997192,15111218,15111218,491.285673619,3,0,7.000001689,621.061767553,621.075521702,4051882,4052420,15111218,15111218,614.075520013,3,0,122.78984639399994,24.993573594255764
3,11:0:11 11:0:41 10192 100 17,7.000001674,519.136689244,519.153669979,4581934,4582440,1333486,1333486,512.153668305,3,0,7.000001674,322.192347494,322.192767288,2410447,2410482,1333486,1333486,315.192765614,3,0,-196.960902691,-38.45738396111712
4,11:0:11 11:0:41 10190 100 17,7.000001649,658.378848066,658.393341994,9289774,9290399,24711438,24711438,651.393340345,3,0,7.000001649,616.826230366,616.842522185,7649660,7650252,24711438,24711438,609.842520536,3,0,-41.550819808999904,-6.378760302798487
5,11:0:11 11:0:41 10187 100 17,7.000001622,335.824252518,335.861364602,1046025,1046301,8163612,8163612,328.86136298,3,0,7.000001622,453.142590102,453.179378584,1445891,1446327,8163612,8163612,446.179376962,3,0,117.31801398199997,35.674003452067055
6,11:0:11 11:0:41 10186 100 17,7.000001612,356.067106113,356.097965246,1106747,1107032,8381714,8381714,349.097963634,3,0,7.000001612,474.809935613,474.877414667,1535673,1536084,8381714,8381714,467.877413055,3,0,118.77944942099998,34.02467553363625
7,11:0:11 11:0:41 10185 100 17,7.000001603,298.747063452,298.786717913,707883,708088,5636747,5636747,291.78671631,3,0,7.000001603,379.477665385,379.54365781,877198,877479,5636747,5636747,372.543656207,3,0,80.75693989700005,27.676701982280193
8,11:0:11 11:0:41 10183 100 17,7.000001472,593.412826282,593.428624003,6892228,6892807,20457259,20457259,586.428622531,3,0,7.000001472,537.411290173,537.433565306,5474840,5475355,20457259,20457259,530.433563834,3,0,-55.99505869699999,-9.548486643664798
9,11:0:11 11:0:41 10181 100 17,7.000001451,688.806083918,688.819152477,9321417,9322039,3083719,3083719,681.819151026,3,0,7.000001451,9.00267344,9.340416018,200,205,3742,3742,2.340414567,3,0,-679.478736459,-99.65673968478617
