,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10099 100 17,2.003912909,583.38109615,583.420837017,2390748,2391257,10364472,10364472,581.416924108,3,0,2.003912909,859.539669638,859.58709188,3693009,3693797,10364472,10364472,857.583178971,3,0,276.16625486300006,47.49883318011248
1,11:0:11 11:0:41 10097 100 17,2.003862711,238.227999628,238.302548398,171842,171986,2542913,2542913,236.298685687,3,0,2.003862711,359.321977032,359.419008092,303849,304132,2542913,2542913,357.415145381,3,0,121.11645969400001,51.255663713013725
2,11:0:11 11:0:41 10096 100 17,2.003838312,1034.387786311,1034.404778258,14866442,14867347,30511896,30511896,1032.400939946,3,0,2.003838312,1271.26105032,1271.27489847,20268521,20269660,30511896,30511896,1269.271060158,3,0,236.87012021199985,22.94361725633351
3,11:0:11 11:0:41 10093 100 17,2.003761714,284.670321946,284.743291732,306506,306693,3335902,3335902,282.739530018,3,0,2.003761714,426.435125712,426.563101338,515021,515375,3335902,3335902,424.559339624,3,0,141.81980960600004,50.1591728602546
4,11:0:11 11:0:41 10092 100 17,2.003736915,191.238678989,191.323489284,79577,79659,1198573,1198573,189.319752369,3,0,2.003736915,251.8437418,251.983721686,106258,106400,1198573,1198573,249.979984771,3,0,60.66023240199999,32.041153468111524
5,11:0:11 11:0:41 10090 100 17,2.003685717,483.722891748,483.77427779,1396497,1396898,7714714,7714714,481.770592073,3,0,2.003685717,722.291804934,722.368178121,2219219,2219876,7714714,7714714,720.364492404,3,0,238.593900331,49.52438032889463
6,11:0:11 11:0:41 10098 100 17,2.00388751,486.297168474,486.351814896,1505386,1505828,8188364,8188364,484.347927386,3,0,2.00388751,734.072591183,734.135785986,2413797,2414488,8188364,8188364,732.131898476,3,0,247.78397108999997,51.15825981279137
7,11:0:11 11:0:41 10088 100 17,2.003620518,1593.722164553,1593.730231923,68289801,68291259,69544937,69544937,1591.726611405,3,0,2.003620518,1589.633342268,1589.640319654,63032338,63033630,69544937,69544937,1587.636699136,3,0,-4.089912269000024,-0.2569481618071273
8,11:0:11 11:0:41 10087 100 17,2.003318119,1185.858461315,1185.873220459,22793089,22794208,35995761,35995761,1183.86990234,3,0,2.003318119,1401.96357109,1401.978780789,30471140,30472474,35995761,35995761,1399.97546267,3,0,216.10556033000012,18.254164575250428
9,11:0:11 11:0:41 10086 100 17,2.003291319,1148.693959001,1148.711023343,22939662,22940803,33912427,33912427,1146.707732024,3,0,2.003291319,1094.997958503,1095.018152634,21139644,21140695,33912427,33912427,1093.014861315,3,0,-53.69287070900009,-4.682350106267211
10,11:0:11 11:0:41 10085 100 17,2.00326652,495.062592286,495.115888508,1319348,1319755,7628803,7628803,493.112621988,3,0,2.00326652,734.725132342,734.788377545,2139068,2139732,7628803,7628803,732.785111025,3,0,239.672489037,48.60400613368044
11,11:0:11 11:0:41 10084 100 17,2.003225721,3344.980207685,3344.980276083,1346591138,1346593393,560815259,560815259,3342.977050362,3,0,2.003225721,3297.915011133,3297.915079531,1324416679,1324418703,560815259,560815259,3295.91185381,3,0,-47.06519655200009,-1.4078827297633871
12,11:0:11 11:0:41 10078 100 17,2.003062727,252.49865422,252.571122795,318209,318383,2853423,2853423,250.568060068,3,0,2.003062727,370.436514512,370.55767765,458015,458306,2853423,2853423,368.554614923,3,0,117.98655485499998,47.087627538394315
13,11:0:11 11:0:41 10077 100 17,2.003035927,1217.29149796,1217.306546506,27721510,27722714,38228287,38228287,1215.303510579,3,0,2.003035927,1148.513038683,1148.530889022,25525719,25526823,38228287,38228287,1146.527853095,3,0,-68.77565748400002,-5.659134272658658
14,11:0:11 11:0:41 10076 100 17,2.003011327,223.434687003,223.509039768,184927,185066,2397579,2397579,221.506028441,3,0,2.003011327,333.240880203,333.34533657,296490,296762,2397579,2397579,331.342325243,3,0,109.83629680199999,49.58614335467434
15,11:0:11 11:0:41 10075 100 17,2.002704128,498.127870915,498.182974747,1605370,1605796,7956574,7956574,496.180270619,3,0,2.002704128,737.599613127,737.685835043,2457180,2457852,7956574,7956574,735.683130915,3,0,239.502860296,48.26932356605249
