,flow id:,first send:_no_sp,last send:_no_sp,last arrive:_no_sp,send num:_no_sp,receive num:_no_sp,send size:_no_sp,receive size:_no_sp,FCT:_no_sp,origin_pg:_no_sp,transfer delay:_no_sp,first send:_sp,last send:_sp,last arrive:_sp,send num:_sp,receive num:_sp,send size:_sp,receive size:_sp,FCT:_sp,origin_pg:_sp,transfer delay:_sp,FCT Change,FCT % Change
0,11:0:11 11:0:41 10099 100 17,2.003912909,751.423830118,751.468059784,2972568,2973270,10364472,10364472,749.464146875,3,0,2.003912909,738.425113675,738.493221046,2932499,2933166,10364472,10364472,736.489308137,3,0,-12.974838738000017,-1.731215401310456
1,11:0:11 11:0:41 10097 100 17,2.003862711,270.84919173,270.970368051,170265,170468,2542913,2542913,268.96650534,3,0,2.003862711,279.582807071,279.713470663,178229,178428,2542913,2542913,277.709607952,3,0,8.743102611999973,3.250628772883015
2,11:0:11 11:0:41 10096 100 17,2.003838312,1260.917341251,1260.932383397,19669192,19670330,30511896,30511896,1258.928545085,3,0,2.003838312,1243.323976769,1243.337983118,19342175,19343298,30511896,30511896,1241.334144806,3,0,-17.594400278999956,-1.3975694131085115
3,11:0:11 11:0:41 10093 100 17,2.003761714,338.550350861,338.638274548,319355,319629,3335902,3335902,336.634512834,3,0,2.003761714,344.282563436,344.381634907,332602,332883,3335902,3335902,342.377873193,3,0,5.7433603590000075,1.7061115661162622
4,11:0:11 11:0:41 10092 100 17,2.003736915,224.508165975,224.63270784,88421,88540,1198573,1198573,222.628970925,3,0,2.003736915,228.155036165,228.342734899,90712,90833,1198573,1198573,226.338997984,3,0,3.710027058999998,1.6664619360118431
5,11:0:11 11:0:41 10090 100 17,2.003685717,611.875367832,611.945298234,1670871,1671418,7714714,7714714,609.941612517,3,0,2.003685717,599.378751342,599.446450895,1668620,1669155,7714714,7714714,597.442765178,3,0,-12.498847339000008,-2.049187509509633
6,11:0:11 11:0:41 10098 100 17,2.00388751,641.939929751,642.005200144,1963284,1963889,8188364,8188364,640.001312634,3,0,2.00388751,628.842193945,628.906292157,1946357,1946927,8188364,8188364,626.902404647,3,0,-13.098907986999961,-2.0467001752058724
7,11:0:11 11:0:41 10088 100 17,2.003620518,1574.049446895,1574.057803074,61964988,61966348,69544937,69544937,1572.054182556,3,0,2.003620518,1569.605231869,1569.614062249,61620608,61621951,69544937,69544937,1567.610441731,3,0,-4.44374082499985,-0.2826709711604711
8,11:0:11 11:0:41 10087 100 17,2.003318119,1381.591100598,1381.603705551,28694023,28695336,35995761,35995761,1379.600387432,3,0,2.003318119,1366.065909341,1366.081483083,28338026,28339330,35995761,35995761,1364.078164964,3,0,-15.522222467999882,-1.1251245367430696
9,11:0:11 11:0:41 10086 100 17,2.003291319,1057.80219925,1057.823980776,18725169,18726191,33912427,33912427,1055.820689457,3,0,2.003291319,1028.537905662,1028.561477985,17249182,17250169,33912427,33912427,1026.558186666,3,0,-29.262502791000088,-2.7715409522851417
